"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl","A title should be provided for the document, using a non-empty title element in the head section.","<head><meta charset=\"utf-8\"><meta nam...</head>","html > head"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa.","<span class=\"text-md font-medium text-text-light\">Considerações de Design</span>","#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(2) > a > div > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<h1>Considerações de Design e Avali...</h1>","#__next > div > div:nth-child(2) > div:nth-child(1) > h1"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","<input type=\"text\" placeholder=\"Buscar\" class=\"border border-gray-300 rounded-lg p-2 mb-4\" value=\"\">","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > input"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","<input type=\"text\" placeholder=\"Buscar\" class=\"border border-gray-300 rounded-lg p-2 mb-4\" value=\"\">","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > input"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<a href=\"/inclue/considerations?filter=Technology\">Technology</a>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<a href=\"/inclue/considerations?filter=Science\">Science</a>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(2) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<a href=\"/inclue/considerations?filter=Sports\">Sports</a>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(3) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<a href=\"/inclue/considerations\">Todos</a>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > ul > li:nth-child(4) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<div class=\"bg-primary text-justify text-white rounded-lg\">Technology</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(1) > div > div:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<div class=\"bg-primary text-justify text-white rounded-lg\">Science</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(2) > div > div:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(3) > div > div:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(4) > div > div:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(5) > div > div:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.71:1. Recommendation:  change background to #2b71e6.","<div class=\"bg-primary text-justify text-white rounded-lg\">Sports</div>","#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(6) > div > div:nth-child(2)"
